№ п/п;Название;Печатный или на правах рукописи;Издательство, журнал (название, год, номер) номер авторского свидетельства;Количество печатных листов или страниц;Фамилия соавторов
1.;Импорт актуальных сведений об учебной нагрузке преподавателей из АСУ «Университет» в АРМ «Учёного секретаря»;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–139.;0,1 п.л.;Холод М.В.
2.;Развитие программного обеспечения автоматизированного рабочего места учёного секретаря в части сопряжения с Microsoft Office Visio;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–59.;0,1 п.л.;Карпушин М.С.
3.;Интеграция информационного обеспечения графика оборота электроподвижного состава в АРМ Графиста 2.0;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–14.;0,1 п.л.;Бойко Н.Г.
4.;Автоматизация детектирования и отмены операций, выполняемых над неизменяемыми фрагментами планового графика движения пассажирских поездов метрополитена;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–26.;0,1 п.л.;Горшков Д.В.
5.;Планирование движения пассажирских поездов метрополитена по замкнутому Третьему Пересадочному Контуру;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–19.;0,1 п.л.;Волчков П.А.
6.;Автоматизация процесса составления векторных таблиц, содержащих сводное расписание преподавателей кафедры «Управление и защита информации»;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–61.;0,1 п.л.;Кожевников П.А.
7.;Цифровая трансформация подсистемы расчёта экономически целесообразных направлений вагонов на полигонах сети железных дорог;печ.;Цифровая трансформация в экономике транспортного комплекса: материалы международной научно–практической конференции/ под ред. Соколова Ю.И., Бубновой Г.В., Каргиной Л.А., Епишкина И.А. – М.: РУТ (МИИТ), 2019 С. 256–260.;0,3 п.л.;
8.;The Application of Genetic Algorithms for the Scheduling of Electric Rolling Stock Maintenance;печ.;IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus), pp 2148–2151, March 2019. DOI: 10.1109/EICONRUS.2019.8657263;0,3 п.л.;Kyaw Min Aung, Sidorenko Valentina Gennadevna, Buchirin Vladimir Grigorievich
9.;Требования к системам ДЦ метрополитена на основе методологии УРРАН;печ.;Автоматика, связь, информатика. - 2019. - №3. - С. 18-20. (Перечень ВАК – 68 от 19.04.2019) https://www.elibrary.ru/item.asp?id=37054979;0,2 п.л.;Шинкарёв С.Г., Ярославцев А.Ю., Новиков В.Г.
10.;Обеспечение безопасности перевозки пассажиров на уровне составления инновационных и качественных плановых графиков движения пассажирских поездов по линиям Московского метрополитена;печ.;Актуальные проблемы техносферной безопасности: Сборник научных статей национальной научно-практической конференции (г. Москва, Российская Федерация 06 марта – 12 марта 2019 г.) [Электронный ресурс]. – Москва: РУТ (МИИТ). РОАТ, 2019 – Режим доступа: http://www.rgotups.ru/images/data/Posobia/ SB_aktualn_problemi_texnosf_bezopasnosti.pdf, свободный. – Загл. С титул. Экрана. ISBN 978-5-7473-0978-4. - С. 47-50. https://www.elibrary.ru/item.asp?id=41506007;0,3 п.л.;Иконников А.С.
11.;Развитие информационного обеспечения графика оборота электроподвижного состава в АРМ Графиста 2.0;печ.;Всероссийская научно-практическая конференция «Неделя науки - 2019». Труды. В двух частях. Часть 1. - М.: РУТ (МИИТ). - 2019. - С. III-116.;0,1 п.л.;Бойко Н.Г.
12.;Программная оболочка для организации навигационного доступа к базе данных Службы сигнализации, централизации и блокировки Московского метрополитена;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–24.;0,1 п.л.;Глозман И.Б.
13.;Возможности одностраничных веб-приложений: браузерный калькулятор на базе фреймворка «Vue.js»;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–32.;0,1 п.л.;Дидушок Д.А.
14.;Модификация кодовых конструкций и графического пользовательского интерфейса в АРМ Учёного секретаря;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–34.;0,1 п.л.;Дроздов Г.С.
15.;Подходы к автоматизации электронного документооборота Службы сигнализации, централизации и блокировки Московского метрополитена;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–45.;0,1 п.л.;Захарова А.С.
16.;Адаптация действующей системы АРМ Графиста под нужды международной проектной деятельности;печ.;Всероссийская научно–практическая конференция «Неделя науки – 2019». Труды. В двух частях. Часть 1. – 2019. – С. III–51.;0,1 п.л.;Иконников А.С.